ui_ssp,ui_year,ui_tech,ui_subtype,ui_feature,ui_is_ccs,ui_cooling_type,ui_capacity_factor,fname,fpath,ssp,tech,subtype,feature,is_ccs,cooling_type,cap_factor
SSP5 - 'Taking the Highway',2085,Nuclear,Generation 3 Reactor AP1000,--,--,Recirculating,--,gridcerf_nuclear_gen3_ap1000_recirculating.tif,ssp5/2085/nuclear/gridcerf_nuclear_gen3_ap1000_recirculating.tif,ssp5,nuclear,gen3 ap1000,--,--,recirculating,--
SSP5 - 'Taking the Highway',2085,Nuclear,Generation 3 Reactor AP1000,--,--,Pond,--,gridcerf_nuclear_gen3_ap1000_pond.tif,ssp5/2085/nuclear/gridcerf_nuclear_gen3_ap1000_pond.tif,ssp5,nuclear,gen3 ap1000,--,--,pond,--
SSP5 - 'Taking the Highway',2085,Nuclear,Generation 3 Reactor Small Modular Reactor (SMR),--,--,Once-through,--,gridcerf_nuclear_gen3_smr_oncethrough.tif,ssp5/2085/nuclear/gridcerf_nuclear_gen3_smr_oncethrough.tif,ssp5,nuclear,gen3 smr,--,--,oncethrough,--
SSP5 - 'Taking the Highway',2085,Nuclear,Generation 3 Reactor Small Modular Reactor (SMR),--,--,Recirculating,--,gridcerf_nuclear_gen3_smr_recirculating.tif,ssp5/2085/nuclear/gridcerf_nuclear_gen3_smr_recirculating.tif,ssp5,nuclear,gen3 smr,--,--,recirculating,--
SSP5 - 'Taking the Highway',2085,Nuclear,Generation 3 Reactor AP1000,--,--,Once-through,--,gridcerf_nuclear_gen3_ap1000_oncethrough.tif,ssp5/2085/nuclear/gridcerf_nuclear_gen3_ap1000_oncethrough.tif,ssp5,nuclear,gen3 ap1000,--,--,oncethrough,--
SSP5 - 'Taking the Highway',2085,Nuclear,Generation 3 Reactor AP1000,--,--,Recirculating-Seawater,--,gridcerf_nuclear_gen3_ap1000_recirculating-seawater.tif,ssp5/2085/nuclear/gridcerf_nuclear_gen3_ap1000_recirculating-seawater.tif,ssp5,nuclear,gen3 ap1000,--,--,recirculating-seawater,--
SSP5 - 'Taking the Highway',2085,Nuclear,Generation 3 Reactor Small Modular Reactor (SMR),--,--,Recirculating-Seawater,--,gridcerf_nuclear_gen3_smr_recirculating-seawater.tif,ssp5/2085/nuclear/gridcerf_nuclear_gen3_smr_recirculating-seawater.tif,ssp5,nuclear,gen3 smr,--,--,recirculating-seawater,--
SSP5 - 'Taking the Highway',2085,Nuclear,Generation 2 Reactor Light Water Reactor (LWR),--,--,Once-through,--,gridcerf_nuclear_gen2_lwr_oncethrough.tif,ssp5/2085/nuclear/gridcerf_nuclear_gen2_lwr_oncethrough.tif,ssp5,nuclear,gen2 lwr,--,--,oncethrough,--
SSP5 - 'Taking the Highway',2085,Geothermal,Centralized Enhanced,--,--,Dry-Hybrid,class1,gridcerf_geothermal_centralized_enhanced_dry-hybrid_class1.tif,ssp5/2085/geothermal/gridcerf_geothermal_centralized_enhanced_dry-hybrid_class1.tif,ssp5,geothermal,centralized enhanced,--,--,dry-hybrid,class1
SSP5 - 'Taking the Highway',2085,Geothermal,Centralized Enhanced,--,--,Dry-Hybrid,class2,gridcerf_geothermal_centralized_enhanced_dry-hybrid_class2.tif,ssp5/2085/geothermal/gridcerf_geothermal_centralized_enhanced_dry-hybrid_class2.tif,ssp5,geothermal,centralized enhanced,--,--,dry-hybrid,class2
SSP5 - 'Taking the Highway',2085,Geothermal,Centralized Enhanced,--,--,Dry-Hybrid,class3,gridcerf_geothermal_centralized_enhanced_dry-hybrid_class3.tif,ssp5/2085/geothermal/gridcerf_geothermal_centralized_enhanced_dry-hybrid_class3.tif,ssp5,geothermal,centralized enhanced,--,--,dry-hybrid,class3
SSP5 - 'Taking the Highway',2085,Geothermal,Centralized Enhanced,--,--,Dry-Hybrid,class4,gridcerf_geothermal_centralized_enhanced_dry-hybrid_class4.tif,ssp5/2085/geothermal/gridcerf_geothermal_centralized_enhanced_dry-hybrid_class4.tif,ssp5,geothermal,centralized enhanced,--,--,dry-hybrid,class4
SSP5 - 'Taking the Highway',2085,Geothermal,Centralized Enhanced,--,--,Dry-Hybrid,class5,gridcerf_geothermal_centralized_enhanced_dry-hybrid_class5.tif,ssp5/2085/geothermal/gridcerf_geothermal_centralized_enhanced_dry-hybrid_class5.tif,ssp5,geothermal,centralized enhanced,--,--,dry-hybrid,class5
SSP5 - 'Taking the Highway',2085,Geothermal,Centralized Enhanced,--,--,Recirculating,class1,gridcerf_geothermal_centralized_enhanced_recirculating_class1.tif,ssp5/2085/geothermal/gridcerf_geothermal_centralized_enhanced_recirculating_class1.tif,ssp5,geothermal,centralized enhanced,--,--,recirculating,class1
SSP5 - 'Taking the Highway',2085,Geothermal,Centralized Enhanced,--,--,Recirculating,class3,gridcerf_geothermal_centralized_enhanced_recirculating_class3.tif,ssp5/2085/geothermal/gridcerf_geothermal_centralized_enhanced_recirculating_class3.tif,ssp5,geothermal,centralized enhanced,--,--,recirculating,class3
SSP5 - 'Taking the Highway',2085,Geothermal,Centralized Enhanced,--,--,Recirculating,class2,gridcerf_geothermal_centralized_enhanced_recirculating_class2.tif,ssp5/2085/geothermal/gridcerf_geothermal_centralized_enhanced_recirculating_class2.tif,ssp5,geothermal,centralized enhanced,--,--,recirculating,class2
SSP5 - 'Taking the Highway',2085,Geothermal,Centralized Enhanced,--,--,Recirculating,class5,gridcerf_geothermal_centralized_enhanced_recirculating_class5.tif,ssp5/2085/geothermal/gridcerf_geothermal_centralized_enhanced_recirculating_class5.tif,ssp5,geothermal,centralized enhanced,--,--,recirculating,class5
SSP5 - 'Taking the Highway',2085,Geothermal,Centralized Enhanced,--,--,Recirculating,class4,gridcerf_geothermal_centralized_enhanced_recirculating_class4.tif,ssp5/2085/geothermal/gridcerf_geothermal_centralized_enhanced_recirculating_class4.tif,ssp5,geothermal,centralized enhanced,--,--,recirculating,class4
SSP5 - 'Taking the Highway',2085,Wind,Onshore,Hub Height 80 meters (m),--,No Cooling,35cf,gridcerf_wind_onshore_hubheight80_no-cooling_35cf.tif,ssp5/2085/wind/gridcerf_wind_onshore_hubheight80_no-cooling_35cf.tif,ssp5,wind,onshore,hubheight80,--,no-cooling,35cf
SSP5 - 'Taking the Highway',2085,Wind,Onshore,Hub Height 140 meters (m),--,No Cooling,45cf,gridcerf_wind_onshore_hubheight140_no-cooling_45cf.tif,ssp5/2085/wind/gridcerf_wind_onshore_hubheight140_no-cooling_45cf.tif,ssp5,wind,onshore,hubheight140,--,no-cooling,45cf
SSP5 - 'Taking the Highway',2085,Wind,Onshore,Hub Height 100 meters (m),--,No Cooling,25cf,gridcerf_wind_onshore_hubheight100_no-cooling_25cf.tif,ssp5/2085/wind/gridcerf_wind_onshore_hubheight100_no-cooling_25cf.tif,ssp5,wind,onshore,hubheight100,--,no-cooling,25cf
SSP5 - 'Taking the Highway',2085,Wind,Onshore,Hub Height 120 meters (m),--,No Cooling,15cf,gridcerf_wind_onshore_hubheight120_no-cooling_15cf.tif,ssp5/2085/wind/gridcerf_wind_onshore_hubheight120_no-cooling_15cf.tif,ssp5,wind,onshore,hubheight120,--,no-cooling,15cf
SSP5 - 'Taking the Highway',2085,Wind,Onshore,Hub Height 120 meters (m),--,No Cooling,50cf,gridcerf_wind_onshore_hubheight120_no-cooling_50cf.tif,ssp5/2085/wind/gridcerf_wind_onshore_hubheight120_no-cooling_50cf.tif,ssp5,wind,onshore,hubheight120,--,no-cooling,50cf
SSP5 - 'Taking the Highway',2085,Wind,Onshore,Hub Height 120 meters (m),--,No Cooling,35cf,gridcerf_wind_onshore_hubheight120_no-cooling_35cf.tif,ssp5/2085/wind/gridcerf_wind_onshore_hubheight120_no-cooling_35cf.tif,ssp5,wind,onshore,hubheight120,--,no-cooling,35cf
SSP5 - 'Taking the Highway',2085,Wind,Onshore,Hub Height 100 meters (m),--,No Cooling,40cf,gridcerf_wind_onshore_hubheight100_no-cooling_40cf.tif,ssp5/2085/wind/gridcerf_wind_onshore_hubheight100_no-cooling_40cf.tif,ssp5,wind,onshore,hubheight100,--,no-cooling,40cf
SSP5 - 'Taking the Highway',2085,Wind,Onshore,Hub Height 140 meters (m),--,No Cooling,20cf,gridcerf_wind_onshore_hubheight140_no-cooling_20cf.tif,ssp5/2085/wind/gridcerf_wind_onshore_hubheight140_no-cooling_20cf.tif,ssp5,wind,onshore,hubheight140,--,no-cooling,20cf
